City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Bredasdorp,ZA,53.6,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
10,Ushuaia,AR,50.0,scattered clouds,-54.8,-68.3,Albatros Hotel
15,Pacific Grove,US,59.0,clear sky,36.6177,-121.9166,Lovers Point Inn
19,Bluff,NZ,60.01,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
20,Dinghai,CN,60.8,broken clouds,26.2847,119.7936,
24,Saldanha,ZA,60.8,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
27,Hasaki,JP,54.0,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
34,Hermanus,ZA,59.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
36,Mataura,NZ,60.01,light rain,-46.1927,168.8643,Ellie's Villa
51,Muros,ES,53.01,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
53,Lompoc,US,57.2,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
55,Cape Town,ZA,64.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
65,Busselton,AU,59.0,light rain,-33.65,115.3333,Observatory Guest House
66,Kiama,AU,61.0,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
73,Castro,BR,60.71,clear sky,-24.7911,-50.0119,CHACARA BAILLY
74,Kruisfontein,ZA,58.19,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
77,Moses Lake,US,55.4,scattered clouds,47.1301,-119.2781,Ramada by Wyndham Moses Lake
87,Lebu,CL,52.52,clear sky,-37.6167,-73.65,Hostal Las Lilas
91,Ponta Do Sol,PT,59.0,overcast clouds,32.6667,-17.1,Hotel do Campo
92,Port Lincoln,AU,60.1,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
97,Yankton,US,59.0,clear sky,42.8711,-97.3973,Holiday Inn Express & Suites Yankton
103,Hamilton,US,62.01,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
104,Port Elizabeth,ZA,62.6,broken clouds,-33.918,25.5701,39 On Nile Guest House
116,Boiro,ES,53.01,overcast clouds,42.65,-8.9,Casa Costaneira
117,Erenhot,CN,51.75,few clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
118,Mount Gambier,AU,53.6,broken clouds,-37.8333,140.7667,Commodore on the Park
120,Bud,US,55.99,broken clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
125,Muroto,JP,55.4,clear sky,33.2833,134.15,Oota Ryokan
129,Ancud,CL,53.01,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
134,Centerville,US,61.0,overcast clouds,39.6284,-84.1594,"Country Inn & Suites by Radisson, Dayton South, OH"
138,Port Augusta,AU,62.6,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
139,Westport,US,61.0,clear sky,41.1415,-73.3579,The Westport Inn
144,Katsuura,JP,53.6,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
147,Bereda,ES,50.0,overcast clouds,43.2686,-7.5406,Pazo de Verdes
149,Fortuna,US,55.0,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
151,Quthing,LS,60.26,broken clouds,-30.4,27.7003,Mountainside Hotel
155,Carballo,ES,51.01,light rain,43.213,-8.691,Pazo do Souto
156,Faratsiho,MG,55.09,overcast clouds,-19.4,46.95,LAVILLA FARATSIHO
159,Uvinza,TZ,64.67,overcast clouds,-5.1036,30.3911,
164,Necochea,AR,57.0,light rain,-38.5473,-58.7368,dyd -mar Hotel
168,Xinzhi,CN,54.43,light rain,36.4989,111.7047,Mingyue Hotel
176,Lata,PT,57.99,scattered clouds,40.1629,-8.3327,Casa Maquia
182,Lawrenceburg,US,64.4,clear sky,38.0373,-84.8966,Best Western Lawrenceburg Inn
188,Njombe,TZ,55.18,overcast clouds,-9.3333,34.7667,Hillside Hotel
189,Abnub,EG,55.4,clear sky,27.2696,31.1511,Romany Adly Gad
196,Codrington,AU,53.42,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
197,Villa Carlos Paz,AR,57.0,overcast clouds,-31.4241,-64.4978,Monte Carlo
201,Camacha,PT,64.4,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
208,Guangyuan,CN,57.99,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
214,Rio Gallegos,AR,53.6,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
218,Shimoda,JP,55.4,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
222,Flinders,AU,61.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
226,Shahrud,IR,62.89,broken clouds,36.4182,54.9763,Royal Hotel
228,Bahia Blanca,AR,55.15,overcast clouds,-38.7196,-62.2724,Hotel Argos
231,Nichinan,JP,55.4,broken clouds,31.6,131.3667,Guest House Aki
233,Sabirabad,AZ,50.0,broken clouds,40.0095,48.4752,Mugan Park Hotel
234,San Francisco,US,62.6,few clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
237,Garden City,US,62.6,light rain,42.3256,-83.331,Quality Inn & Suites Banquet Center
238,Esperance,AU,57.2,overcast clouds,-33.8667,121.9,Hospitality Esperance
241,Bemidji,US,51.01,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
247,Sao Joaquim,BR,59.16,overcast clouds,-28.2939,-49.9317,Pousada Alternativa Cravo e Canela
