City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Carnarvon,-24.8667,113.6333,77.0,88,97,13.8,overcast clouds
1,Sitka,57.0531,-135.33,33.8,75,90,11.5,snow
2,Bonavista,48.6499,-53.1147,32.0,100,100,5.75,overcast clouds
3,Kautokeino,69.0125,23.0412,7.79,77,6,8.46,clear sky
4,Mount Gambier,-37.8333,140.7667,50.0,66,40,19.57,light rain
5,Tuatapere,-46.1333,167.6833,57.0,94,80,3.0,broken clouds
6,Kapaa,22.0752,-159.319,70.0,83,90,6.91,overcast clouds
7,Muros,42.7762,-9.0603,57.99,82,99,6.2,overcast clouds
8,Bethel,41.3712,-73.414,69.8,56,75,9.22,broken clouds
9,Carballo,43.213,-8.691,54.0,93,98,11.99,overcast clouds
10,Atikokan,48.7555,-91.6216,39.27,83,100,7.72,overcast clouds
11,Newport,51.5877,-2.9984,42.01,77,46,13.29,scattered clouds
12,Hilo,19.7297,-155.09,71.6,68,1,3.44,clear sky
13,Craig,40.5153,-107.5464,55.4,16,1,6.91,clear sky
14,Mataura,-46.1927,168.8643,55.99,93,34,1.01,scattered clouds
15,Saskylakh,71.9167,114.0833,-4.76,89,23,10.4,few clouds
16,Nioro,13.35,-15.75,95.43,18,1,11.3,clear sky
17,Clyde River,70.4692,-68.5914,32.0,64,1,13.8,clear sky
18,Severo-Kurilsk,50.6789,156.125,29.1,83,100,18.1,overcast clouds
19,Rikitea,-23.1203,-134.9692,78.3,73,0,9.42,clear sky
20,East London,-33.0153,27.9116,66.2,94,0,1.14,clear sky
21,Sao Joao Da Barra,-21.6403,-41.0511,86.0,48,20,11.5,few clouds
22,Gidole,5.65,37.3667,59.68,74,100,2.86,light rain
23,Hasaki,35.7333,140.8333,41.0,87,20,6.91,few clouds
24,Moanda,-1.5575,13.2178,80.6,78,20,5.75,light rain
25,Port Alfred,-33.5906,26.891,68.43,93,63,4.54,broken clouds
26,Heiligenhafen,54.3667,10.9833,39.99,68,100,1.01,overcast clouds
27,Mercedes,-34.6515,-59.4307,70.0,99,100,3.0,light rain
28,Vaini,-21.2,-175.2,68.0,94,20,3.44,few clouds
29,Yuma,32.7253,-114.6244,90.0,10,1,3.44,clear sky
30,Punta Arenas,-53.15,-70.9167,53.6,58,40,20.71,scattered clouds
31,Port Hardy,50.6996,-127.4199,42.8,65,40,8.05,scattered clouds
32,Sao Filipe,14.8961,-24.4956,75.76,63,12,10.94,few clouds
33,Nome,64.5011,-165.4064,8.01,51,1,16.11,clear sky
34,Busselton,-33.65,115.3333,64.99,64,100,1.99,light rain
35,Coos Bay,43.3665,-124.2179,51.01,76,90,11.5,overcast clouds
36,Vao,-22.6667,167.4833,79.07,84,100,34.81,moderate rain
37,Nemuro,43.3236,145.575,33.91,77,5,7.65,clear sky
38,Lebu,-37.6167,-73.65,57.4,68,0,12.46,clear sky
39,Esperance,-33.8667,121.9,57.2,88,100,10.36,overcast clouds
40,Dunedin,-45.8742,170.5036,61.0,64,99,3.0,overcast clouds
41,Codrington,-38.2667,141.9667,50.79,65,100,26.06,overcast clouds
42,Saint George,37.1041,-113.5841,73.99,15,1,2.86,clear sky
43,Vestmannaeyjar,63.4427,-20.2734,35.6,64,75,9.22,broken clouds
44,Mount Isa,-20.7333,139.5,75.2,38,78,16.11,broken clouds
45,Hermanus,-34.4187,19.2345,59.0,90,100,2.24,overcast clouds
46,Barrow,71.2906,-156.7887,-13.0,77,20,11.5,few clouds
47,Quebec,46.8123,-71.2145,53.01,61,46,12.66,scattered clouds
48,Ushuaia,-54.8,-68.3,53.6,54,40,12.66,scattered clouds
49,Chuy,-33.6971,-53.4616,67.64,95,100,12.17,heavy intensity rain
50,Atuona,-9.8,-139.0333,80.58,74,94,17.38,overcast clouds
51,Abeche,13.8292,20.8324,85.19,5,29,12.84,scattered clouds
52,Albany,42.6001,-73.9662,77.0,34,15,4.0,few clouds
53,Fairbanks,64.8378,-147.7164,3.0,54,75,11.5,broken clouds
54,Marawi,7.9986,124.2928,75.99,92,100,3.0,overcast clouds
55,Yumen,40.2833,97.2,51.58,39,44,13.89,scattered clouds
56,Yellowknife,62.456,-114.3525,7.0,55,20,12.66,few clouds
57,Great Yarmouth,52.6083,1.7305,42.8,61,20,16.11,few clouds
58,Mehamn,71.0357,27.8492,25.68,75,48,15.52,scattered clouds
59,Trinidad,-14.8333,-64.9,87.8,70,75,9.22,broken clouds
60,Whitianga,-36.8333,175.7,66.99,99,80,5.39,broken clouds
61,Imeni Poliny Osipenko,52.4201,136.4853,36.3,69,100,11.99,overcast clouds
62,Marion,39.7684,-86.1555,61.0,94,90,9.22,very heavy rain
63,Tiksi,71.6872,128.8694,-17.21,99,41,5.73,scattered clouds
64,Bambous Virieux,-20.3428,57.7575,80.01,78,40,11.5,scattered clouds
65,Atambua,-9.1061,124.8925,71.69,79,87,3.2,overcast clouds
66,Key West,24.5557,-81.7826,84.2,69,1,14.97,clear sky
67,Avarua,-21.2078,-159.775,80.6,89,40,5.75,scattered clouds
68,Kodiak,57.79,-152.4072,30.2,69,90,6.82,overcast clouds
69,Tasiilaq,65.6145,-37.6368,32.0,69,75,1.14,broken clouds
70,Bilma,18.6853,12.9164,90.01,5,97,10.42,overcast clouds
71,Monte Alegre,-2.0078,-54.0692,88.03,55,57,5.08,broken clouds
72,Mar Del Plata,-38.0023,-57.5575,68.0,82,75,17.27,broken clouds
73,Ukiah,39.1502,-123.2078,62.01,47,1,4.61,clear sky
74,Butaritari,3.0707,172.7902,81.48,78,99,10.92,light rain
75,Kaitangata,-46.2817,169.8464,59.0,72,96,1.99,overcast clouds
76,Chernyshevskiy,63.0128,112.4714,-15.63,99,61,4.0,broken clouds
77,Isangel,-19.55,169.2667,78.03,85,100,11.88,overcast clouds
78,Pontes E Lacerda,-15.2261,-59.3353,84.06,71,34,3.91,moderate rain
79,Saint-Philippe,-21.3585,55.7679,80.6,65,90,11.14,overcast clouds
80,High Level,58.5169,-117.136,14.0,67,75,21.85,broken clouds
81,Thompson,55.7435,-97.8558,35.6,64,40,9.22,scattered clouds
82,Merauke,-8.4667,140.3333,78.06,85,89,6.58,overcast clouds
83,Fort Nelson,58.8053,-122.7002,12.2,67,90,4.61,light snow
84,Bredasdorp,-34.5322,20.0403,60.8,88,100,1.14,overcast clouds
85,Okhotsk,59.3833,143.3,23.29,91,100,12.71,light snow
86,Lac Du Bonnet,50.2536,-96.0612,52.0,88,10,2.86,clear sky
87,Constitucion,-35.3333,-72.4167,62.11,60,0,14.81,clear sky
88,Awjilah,29.1081,21.2869,63.68,23,100,9.1,overcast clouds
89,Los Llanos De Aridane,28.6585,-17.9182,68.0,73,20,2.3,few clouds
90,San Ignacio,17.1561,-89.0714,96.8,44,0,6.91,clear sky
91,Andros,37.8333,24.9333,54.0,54,0,11.5,clear sky
