City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kashi,CN,2021-04-10 00:38:20,39.4547,75.9797,280.15,65,0,2.0
1,Hobart,AU,2021-04-10 00:41:00,-42.8794,147.3294,287.15,47,40,7.2
2,Chokurdakh,RU,2021-04-10 00:41:23,70.6333,147.9167,251.31,90,92,5.31
3,Bredasdorp,ZA,2021-04-10 00:41:24,-34.5322,20.0403,290.15,94,100,2.27
4,La Ronge,CA,2021-04-10 00:41:26,55.1001,-105.2842,277.15,41,12,3.09
5,Barrow,US,2021-04-10 00:40:01,71.2906,-156.7887,250.15,70,1,5.14
6,Mataura,NZ,2021-04-10 00:41:31,-46.1927,168.8643,285.93,86,100,0.89
7,Victoria,HK,2021-04-10 00:39:29,22.2855,114.1577,294.82,65,52,0.89
8,Provideniya,RU,2021-04-10 00:41:33,64.3833,-173.3,256.67,84,100,7.04
9,Pevek,RU,2021-04-10 00:41:35,69.7008,170.3133,251.26,86,45,1.41
10,Rikitea,PF,2021-04-10 00:41:36,-23.1203,-134.9692,298.81,74,81,4.81
11,East London,ZA,2021-04-10 00:41:37,-33.0153,27.9116,291.55,88,33,1.63
12,Rio Gallegos,AR,2021-04-10 00:37:28,-51.6226,-69.2181,280.15,70,0,3.09
13,Kodiak,US,2021-04-10 00:41:40,57.79,-152.4072,275.15,25,1,6.69
14,Wisconsin Rapids,US,2021-04-10 00:41:41,44.3836,-89.8174,285.15,76,90,3.6
15,Beringovskiy,RU,2021-04-10 00:41:43,63.05,179.3167,259.56,93,100,8.98
16,Akonolinga,CM,2021-04-10 00:41:44,3.7667,12.25,295.52,75,100,0.09
17,Aloleng,PH,2021-04-10 00:41:46,16.1307,119.7824,301.74,62,42,3.27
18,Anan,JP,2021-04-10 00:41:47,33.9167,134.65,283.15,49,20,8.23
19,Mikhaylovka,RU,2021-04-10 00:39:17,50.06,43.2379,277.59,83,100,3.58
20,Ribeira Grande,PT,2021-04-10 00:41:50,38.5167,-28.7,288.69,87,100,7.99
21,Paamiut,GL,2021-04-10 00:41:51,61.994,-49.6678,274.13,89,100,2.78
22,Punta Arenas,CL,2021-04-10 00:38:43,-53.15,-70.9167,280.15,76,0,4.63
23,Butaritari,KI,2021-04-10 00:41:54,3.0707,172.7902,301.02,77,100,6.9
24,Coquimbo,CL,2021-04-10 00:41:55,-29.9533,-71.3436,288.15,82,0,4.12
25,Port Lincoln,AU,2021-04-10 00:41:56,-34.7333,135.8667,290.47,64,98,9.38
26,Dikson,RU,2021-04-10 00:41:58,73.5069,80.5464,269.87,92,100,13.63
27,Kirkkonummi,FI,2021-04-10 00:42:00,60.1238,24.4385,277.04,81,100,1.34
28,Lahij,YE,2021-04-10 00:42:02,13.1667,44.5833,295.04,40,0,1.73
29,Port Elizabeth,ZA,2021-04-10 00:42:03,-33.918,25.5701,287.15,94,0,1.54
30,Inhambane,MZ,2021-04-10 00:42:05,-23.865,35.3833,295.41,81,0,2.48
31,Ushuaia,AR,2021-04-10 00:40:52,-54.8,-68.3,280.15,61,40,4.63
32,Kousseri,CM,2021-04-10 00:42:07,12.0769,15.0306,302.15,18,96,2.06
33,Camabatela,AO,2021-04-10 00:42:10,-8.1881,15.375,290.03,93,100,1.4
34,Tasiilaq,GL,2021-04-10 00:42:11,65.6145,-37.6368,268.15,80,20,2.57
35,Saint-Francois,FR,2021-04-10 00:42:13,46.4154,3.9054,281.48,87,90,4.12
36,Mahebourg,MU,2021-04-10 00:42:14,-20.4081,57.7,297.15,94,75,5.14
37,Bluff,NZ,2021-04-10 00:42:16,-46.6,168.3333,285.93,86,100,0.89
38,Sarlat-La-Caneda,FR,2021-04-10 00:42:17,44.889,1.2166,283.71,75,100,0.45
39,Shimoda,JP,2021-04-10 00:42:19,34.6667,138.95,282.15,61,75,8.75
40,Tianpeng,CN,2021-04-10 00:42:20,30.9866,103.9393,288.15,1,100,1.09
41,Jamestown,US,2021-04-10 00:40:54,42.097,-79.2353,289.26,72,1,5.14
42,Hambantota,LK,2021-04-10 00:42:22,6.1241,81.1185,297.15,100,20,1.03
43,Pangnirtung,CA,2021-04-10 00:42:24,66.1451,-65.7125,258.6,95,95,2.59
44,Castro,BR,2021-04-10 00:42:25,-24.7911,-50.0119,290.29,72,30,1.19
45,Iqaluit,CA,2021-04-10 00:38:10,63.7506,-68.5145,259.15,72,75,6.17
46,Saint-Joseph,RE,2021-04-10 00:42:28,-21.3667,55.6167,298.15,69,100,1.54
